invoice_id,buyer_name,buyer_country,linked_shipment_id,invoice_date,due_date,invoice_amount_usd,invoice_amount_inr,amount_received_usd,outstanding_usd,days_overdue,payment_status,buyer_credit_score,ground_truth_risk,trap_type,analyst_note
INV-2025-N01,Neptune Trading LLC,USA,SHIP-001,2025-10-10,2025-11-09,42000,3507000,42000,0,0,paid,9,LOW,TN,Perfect payment history; paid day 28 within NET-30
INV-2025-N02,Neptune Trading LLC,USA,SHIP-016,2025-10-15,2025-11-14,61000,5093500,61000,0,0,paid,9,LOW,TN,Paid day 27; clean
INV-2025-N03,Neptune Trading LLC,USA,PRIOR-SHIP-N03,2025-08-12,2025-09-11,38000,3173000,38000,0,0,paid,9,LOW,TN,Prior shipment not in current register; paid day 30 exactly; no issues
INV-2025-N04,Neptune Trading LLC,USA,PRIOR-SHIP-N04,2025-06-20,2025-07-20,45500,3799250,45500,0,0,paid,9,LOW,TN,Consistent buyer; 4 invoices all paid on time; credit score well-earned
INV-2025-B01,Blue Ocean Imports,EU,SHIP-010,2025-10-28,2025-12-12,33600,2805600,33600,0,0,paid,9,LOW,TN,Paid day 40 within NET-45
INV-2025-B02,Blue Ocean Imports,EU,SHIP-012,2025-09-25,2025-11-09,76400,6379400,76400,0,0,paid,9,LOW,TN,Largest EU invoice; paid day 43 within NET-45; clean
INV-2025-B03,Blue Ocean Imports,EU,SHIP-021,2025-11-01,2025-12-16,27800,2321300,27800,0,0,paid,9,LOW,TN,Paid day 41 within NET-45; consistent EU buyer
INV-2025-M01,Meridian Foods,EU,SHIP-003,2025-09-15,2025-11-14,31000,2588500,31000,0,0,paid,3,HIGH,FN,TRAP FN: This is the invoice linked to SHIP-003 — paid to maintain credit line. Looks clean in isolation. Scroll down to see INV-2025-M02 through M04.
INV-2025-M02,Meridian Foods,EU,PRIOR-SHIP-M02,2025-07-10,2025-09-08,23000,1920500,0,23000,213,overdue,3,HIGH,FN,TRAP FN KEY: 213 days overdue; invoice not linked to any shipment in current register so per-shipment risk scoring misses it. Buyer paid SHIP-003 (current) while ignoring this older invoice — classic payment prioritization to preserve supply.
INV-2025-M03,Meridian Foods,EU,PRIOR-SHIP-M03,2025-08-01,2025-09-30,18500,1544750,0,18500,191,overdue,3,HIGH,FN,TRAP FN KEY: 191 days overdue; second hidden invoice from same buyer; total exposure across M02+M03+M04 is $67000; none flagged by shipment-level view.
INV-2025-M04,Meridian Foods,EU,PRIOR-SHIP-M04,2025-09-01,2025-10-31,25500,2129250,0,25500,160,overdue,3,HIGH,FN,TRAP FN KEY: 160 days overdue; buyer owes $67000 across 3 invoices while current SHIP-003 payment keeps them appearing active. Portfolio-level buyer view reveals the trap.
INV-2025-A01,Al Nakheel Marine,UAE,SHIP-002,2025-11-01,2025-12-01,8500,709750,8500,0,0,paid,7,LOW,TN,Paid day 22; clean
INV-2025-A02,Al Nakheel Marine,UAE,SHIP-008,2025-12-01,2025-12-31,28500,2379750,28500,0,0,paid,7,LOW,TN,Paid day 22; good track record for large orders
INV-2025-A03,Al Nakheel Marine,UAE,SHIP-009,2025-11-20,2025-12-20,14200,1185700,11360,2840,111,partial,7,MEDIUM,FN,TRAP FN: Partial payment status looks like normal installment. Hidden: $2840 remaining is 20% of invoice; 111 days since due date with no communication on remainder. At this age partial = effective bad debt.
